RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/1996,2/29/1996,3/31/1996,4/30/1996,5/31/1996,6/30/1996,7/31/1996,8/31/1996,9/30/1996,10/31/1996,11/30/1996,12/31/1996,1/31/1997,2/28/1997,3/31/1997,4/30/1997,5/31/1997,6/30/1997,7/31/1997,8/31/1997,9/30/1997,10/31/1997,11/30/1997,12/31/1997,1/31/1998,2/28/1998,3/31/1998,4/30/1998,5/31/1998,6/30/1998,7/31/1998,8/31/1998,9/30/1998,10/31/1998,11/30/1998,12/31/1998,1/31/1999,2/28/1999,3/31/1999,4/30/1999,5/31/1999,6/30/1999,7/31/1999,8/31/1999,9/30/1999,10/31/1999,11/30/1999,12/31/1999,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021
97564,13,94109,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,333727,332205,331788,330713,330535,330277,330447,331116,332377,333532,335011,336512,339376,342975,346418,348469,350581,353185,356616,359395,362175,365550,369570,373932,377605,381445,385005,390859,396038,402078,406876,412903,418859,425274,430373,435565,439285,444493,450457,456948,462748,468232,473611,478952,483869,489350,496498,505059,514358,522934,532303,542487,553699,564632,576951,589722,602900,614860,629302,645875,663178,675649,682652,687091,690664,693762,693138,690452,687864,685624,680326,668584,658175,649612,646600,642981,643339,644663,648693,655076,658870,662201,663329,668477,671405,677374,681635,686831,685591,685158,685894,687891,689680,690902,695107,700321,709804,717754,725684,731046,739205,747606,756453,762865,772928,784281,795895,805696,813456,826051,835594,848814,859518,870446,879183,886256,894936,904801,912001,918443,920594,916977,914297,909952,911882,913697,915710,917248,915086,911472,908851,908501,909671,916076,923120,934551,938432,940331,939841,942535,945828,946319,947302,941838,937174,924732,918759,912389,913485,909192,902236,894368,889265,885464,880214,872893,866455,858065,849505,836338,823062,814621,812069,805602,795562,788611,784993,791554,795517,803803,801824,800760,796979,795863,789647,788875,787590,787588,783377,773684,765305,756916,755338,755737,755019,751182,749696,747289,747586,745397,745986,747863,749333,756753,763907,771254,776406,783552,795654,810232,826182,840530,849886,857857,871586,876824,886195,892758,908742,924842,936248,948549,953432,956458,958923,969931,978564,987361,989877,995290,1000468,999380,1000968,994182,993423,996187,1013383,1021260,1023779,1034415,1051179,1071614,1077466,1094023,1113503,1133919,1149024,1157630,1157934,1164442,1176686,1180377,1173062,1154478,1148932,1137684,1121729,1106368,1101814,1106988,1114878,1116750,1116379,1111812,1110198,1114254,1122749,1129842,1138599,1150459,1159455,1162405,1162885,1162746,1160299,1163019,1176257,1190719,1197175,1205382,1209693,1213987,1211486,1209704,1203269,1194818,1196127,1195770,1193305,1185762,1188644,1192019,1192840,1189063,1187661,1197898,1207408,1221787,1223845,1227472,1224189,1224047,1217984,1210221,1204887,1201422,1198273,1185486,1174127,1158873,1147199,1132611
97771,40,94565,Zip,CA,CA,Pittsburg,San Francisco-Oakland-Hayward,Contra Costa County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306737,304493,302979,299650,297076,297569,298822,300364,298339,297101,295113,296339,296307,296009,292669,290431,288489,283984,279917,276643,279102,279377,281151,278717,277710,278500,282749,287324,291298,293566,292945,291849,289738,290993,292341,295332,299818,304790,311437,316679,320223,323728,330385,334406,338660,342092,346359,349201,350656,355043,361799,369123,377145,386139,391828,399577,404162,410202,414992,421667,428352,429717,425108,422041,423757,430578,439318,442322,449891,453292,463145,468129,474674,480502,488191,492637,491831,484393,478061,479406,479752,485872,482094,483362,480829,483235,486887,492293,498625,507881,512605,515756,514683,514039,515804,517487,520219,522637,525648,529879,532899,533077,534404,536723,542164,544977,550130,555372,563261,569133,572260,571859,574350,578273,582989,582055,583226,583832,584093,581192,580474,578812,576829,574943,576971,578403,578362,575727,572666,571746,573043,577535,577906,577820,578701,582193,582465,583293,585173,592140,598579,604834,609598,614120,621080,630307
97711,88,94501,Zip,CA,CA,Alameda,San Francisco-Oakland-Hayward,Alameda County,183651,182684,182409,181685,181500,180861,180260,179867,179891,180381,180869,181603,182117,183221,184084,185208,186371,188182,190231,191937,193523,194827,196532,198604,200803,203159,205404,207849,209557,211446,213792,216449,219187,220730,222557,223289,225204,226706,228560,229452,230340,232642,234097,237104,239165,244392,248459,253464,258007,262928,267035,271414,277908,282543,287892,290612,296242,300966,306262,311868,315498,319371,324764,330385,334689,336989,339452,342012,342969,342549,342651,342027,342352,342863,343215,345647,347861,352789,356779,362426,367681,373066,377366,381111,384409,388068,391040,393393,394554,395902,398080,399941,401614,404323,409047,414676,421070,425706,432105,437156,444569,451319,459146,465959,474215,480768,487969,494709,501978,509634,515975,523747,530891,536894,539862,543301,546736,551998,553770,555138,553945,555495,555576,554526,552319,551612,551740,552402,550660,550237,548703,548687,547644,543367,540955,539615,538295,534614,532459,531505,531826,526830,523722,517167,515635,511658,507650,503187,501017,498557,496154,492122,488118,482986,476419,474315,472300,478058,482485,484611,481978,484815,485797,489033,489781,497106,505599,512854,518327,519053,519964,521887,526533,526657,524506,515117,507999,500670,499655,495674,491293,486156,482514,476035,468292,460908,464598,473193,483245,484309,478735,474485,471600,471289,470971,474790,481659,490561,492993,497201,500092,510370,522142,535642,550261,561027,574360,588670,606610,622321,631055,634608,638375,645311,654451,663891,670460,679162,681738,682484,678127,675194,677431,682966,688180,693298,698987,703925,706861,710841,720759,732012,741265,749607,759544,771776,786101,794548,798681,803721,813443,824329,826569,829927,834868,841050,841499,840496,837855,843275,850284,856097,860071,863632,873794,879665,885003,892679,901334,907896,917909,925898,937150,950037,963477,972790,976474,983173,992274,998276,1007464,1018237,1023924,1026413,1026212,1020856,1011853,1007807,1011039,1018839,1030398,1041668,1049417,1047451,1047358,1044398,1043871,1052324,1069958,1079882,1082351,1078332,1076034,1075570,1077038,1086790,1097824,1113689,1128931,1140118,1146929,1159571
97565,94,94110,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,285314,283786,282878,281548,280920,280286,279710,280674,282418,284123,285102,286893,289953,294092,298403,302279,306041,309712,313668,316504,319517,323270,327899,331859,334444,337006,339813,343126,346923,352197,358320,363431,367884,372102,378247,384261,390395,396514,401997,406825,410434,415317,420401,426544,431841,438353,444783,452487,460958,468440,477744,487697,500111,512152,525023,539297,553779,568196,582364,597827,611206,622927,630344,637408,640946,640479,636467,631492,629122,626068,623093,617372,614088,609952,609761,608451,613790,623677,636072,646244,651030,655294,656937,660109,661830,668830,674714,682437,679966,676338,672311,675199,679212,683115,689090,696575,708008,717340,727048,734178,746463,758519,772244,782283,796279,812875,830186,845489,857140,872466,884072,898834,911623,925390,938383,946266,956279,964059,968410,969996,968452,963148,958819,953968,953869,953388,949939,949201,944543,939739,937580,941393,946957,954607,960875,970799,973921,977484,980261,984905,990263,991891,993751,985538,979623,967433,963201,955101,954056,944055,932892,921638,911056,903164,892483,883560,875744,865995,858679,846468,833967,827233,827609,822725,815122,811311,813253,824171,828034,836466,833023,837587,839955,844438,839623,842222,845277,846513,840139,827640,822155,816557,817343,815616,813392,807587,804674,798292,795488,795671,800869,806379,805011,809542,814953,821599,824874,832413,848204,872975,895846,909890,915659,923007,944557,954081,965419,973113,998115,1023035,1039702,1047541,1052548,1062758,1078686,1101799,1117651,1143519,1164179,1188709,1202972,1209753,1219947,1224444,1232919,1242047,1262852,1274320,1280521,1292213,1311912,1335770,1340880,1355250,1372901,1393849,1412085,1425375,1428915,1434297,1448069,1452835,1446083,1421577,1417536,1409137,1401773,1394800,1400361,1410094,1425570,1432510,1434658,1426739,1422219,1429218,1443242,1456469,1468467,1480042,1485293,1488321,1491732,1505098,1514024,1530391,1555574,1585508,1600512,1618954,1621429,1629047,1621419,1625226,1617327,1605015,1599625,1596439,1593270,1579911,1580208,1579696,1585343,1577721,1580012,1593450,1609384,1625127,1626104,1628150,1622271,1619858,1613069,1604729,1598217,1598760,1598630,1584055,1571072,1557327,1551159,1540788
97743,231,94536,Zip,CA,CA,Fremont,San Francisco-Oakland-Hayward,Alameda County,202048,201616,201610,201552,201948,202098,202230,202532,203269,204486,205632,206850,207674,209021,210463,212374,214320,216392,218944,221448,223943,225919,228266,231030,234016,236742,239232,241606,243569,246160,249127,251850,254244,255610,257344,258337,260688,263331,265926,267636,268500,270592,270963,272998,274280,279246,283383,288277,292902,297774,302130,306927,314365,320157,327649,333025,341459,348097,355166,363051,369220,375448,382563,389424,394327,396594,398491,400329,400747,399826,398730,395719,392803,389943,388225,388969,390851,395887,400276,404956,408513,412129,415024,417887,420775,424560,426971,428543,427694,426923,426672,427562,428710,431133,435570,440578,446647,450878,457160,462129,469640,476575,485103,492970,502213,510084,519073,528380,538393,548334,557020,567657,578422,588662,595439,601455,607055,614551,618093,621580,620736,623707,624614,625042,622996,621443,620507,621260,620049,620112,618453,617858,616691,611069,607355,604366,602688,598599,596118,593506,592438,585100,580904,572422,570112,565889,561836,554881,549366,543456,538573,532760,526446,519736,510259,505578,500002,501284,500868,500085,494126,494336,492405,491887,489512,493425,500823,506888,511157,511248,511368,512025,517362,518294,517195,512969,509957,506322,502319,497094,492502,488292,486142,482226,475440,467244,465971,465604,468038,464728,460916,456731,453048,450857,448402,449408,453354,461159,465603,472765,478602,489492,500415,513038,527141,539391,554923,571484,591728,609319,622409,630523,636808,644169,653988,665578,674454,683667,686846,688338,684954,683017,685611,692264,700063,707617,715545,721331,726412,731183,741323,752443,762732,772280,783403,796517,812303,822670,828539,835272,845631,859135,864578,870147,875534,881414,883307,883498,879849,883382,887566,893172,896364,900039,908556,912147,914630,919802,927339,935859,948825,962171,978380,995787,1012841,1024941,1035093,1053285,1078340,1099302,1117956,1129382,1135698,1133277,1129267,1118651,1108381,1102489,1097430,1092909,1089824,1088288,1081557,1069563,1060044,1053630,1047641,1049773,1059677,1065867,1069204,1066565,1064742,1064136,1069105,1082096,1095959,1112354,1129735,1144798,1155304,1169765
97991,274,95123,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,199719,199149,198988,198670,198752,198886,199087,199671,200411,201601,203071,204881,207015,209344,211664,213974,216123,218579,221009,223337,225642,227729,230218,232804,234786,236874,238959,241806,244639,247338,250419,253501,257245,260557,262563,263694,265862,268823,271744,272952,274559,276642,279638,282181,283894,286411,290258,295470,300291,304569,309142,316027,322941,331580,338736,347724,356736,366260,376187,385368,394195,401014,406961,410782,413481,412990,412284,410858,409609,406776,401709,397119,393181,392696,394276,397065,401202,404721,408727,410544,411750,413707,416717,418388,419606,420681,420726,419874,416942,416286,416234,418422,422125,425165,428657,432711,438245,442544,446261,451308,457950,465658,471840,478504,483888,491770,500723,510212,518814,527353,539378,549043,558706,564547,573132,580721,587346,591725,593807,596786,599738,602542,600108,599268,599327,602883,604089,602311,603993,605078,606838,606916,605542,606112,608342,608803,607432,603323,601478,601413,600284,597115,590893,580082,567566,552224,539585,530692,523906,515757,505805,496841,485105,474940,466610,467356,470906,477023,474113,471628,467010,469107,470528,469442,470732,473766,481390,484212,486523,486407,493941,496080,499661,494072,490610,489571,493008,494594,488641,481870,476074,470306,464206,459020,452984,452500,451217,452240,446610,440944,441286,441333,441568,443716,447724,455675,463307,470351,478576,485185,494619,505424,516854,528086,539238,547458,558271,568679,582956,596392,606247,614771,621150,629756,631222,639383,647513,660879,664022,665298,660864,659635,663040,669090,678021,682647,692086,695488,698738,700283,708634,713693,728641,736548,746052,747797,752282,757686,762417,768210,773966,777023,780343,787798,786517,788764,786264,793635,795123,800203,803957,810420,815498,822518,825709,830566,834936,842309,851682,865031,884961,903581,923056,941733,961790,981616,1001086,1015336,1038863,1059681,1076403,1072762,1060281,1047451,1034278,1018043,999041,983694,971034,967560,967342,965146,960853,951784,951129,947950,948450,950187,960326,972455,985464,991737,989819,990213,993742,1008738,1019813,1033190,1043574,1054422,1059563,1061644
97940,306,95035,Zip,CA,CA,Milpitas,San Jose-Sunnyvale-Santa Clara,Santa Clara County,230694,229825,229360,228470,228023,227867,227836,228248,228681,229585,230800,232379,234362,236578,238844,241142,243203,245405,247535,249897,252422,254712,257213,259780,261735,263676,265719,268444,271227,273516,276193,278338,281247,283855,285550,286448,288165,290966,293736,295057,297085,300023,303932,307040,309367,312447,316883,322844,328612,333657,338411,345275,351762,360003,366733,376168,385566,395272,405262,414015,422696,429028,435447,440024,443572,443551,442822,441269,439926,437153,432127,427759,423695,423484,424438,425951,428726,431735,436234,438333,439407,441208,443784,445058,445729,446068,445823,445086,442425,441355,440251,441285,444380,447107,450636,454769,460534,465208,469257,475015,482060,490020,496182,503308,509009,517045,526036,535564,544310,552867,565425,574924,584870,591135,600848,609109,616303,621137,623941,627400,630843,633972,631183,630046,629368,632581,633271,631381,633197,634414,635909,635775,633991,634244,636273,637129,636032,632137,630902,631898,631172,627497,620667,609826,597410,582215,569904,562151,556983,549996,540146,530475,518548,508419,500418,501123,504424,510264,506304,502094,496293,497656,499170,497608,498728,502261,509847,512782,515285,516532,526139,528933,531996,525370,521507,520342,523800,525385,520136,513720,508867,502983,496813,492304,488353,489905,488773,490494,484328,478977,479652,480345,480969,482656,486711,494748,500771,506960,515294,522845,533383,544053,554658,565501,575338,582905,591608,601834,618071,633960,645234,651482,655134,661371,662247,669945,678965,693537,697910,697744,694732,694724,701209,707484,718128,724295,734716,737368,738927,739386,749143,756117,763003,760953,760459,763390,769086,775252,779567,785104,791348,794203,795931,801635,803354,809679,811542,818678,819677,823257,825979,832182,837120,843753,844976,848621,853119,862792,871381,884162,902607,924105,945559,966367,987805,1009501,1032351,1049397,1071911,1088725,1104641,1100650,1088839,1075198,1063509,1048868,1030079,1014592,1002539,1001490,998927,994786,986822,979969,982507,981098,984373,987605,1001835,1017511,1034249,1042352,1047422,1055551,1067592,1086794,1100923,1118448,1131358,1146002,1153531,1158534
97751,314,94544,Zip,CA,CA,Hayward,San Francisco-Oakland-Hayward,Alameda County,158629,157990,157912,157731,157981,157972,157861,157898,158129,158540,158884,159282,159320,159750,160041,160500,160909,161558,162710,163615,164461,165033,165909,167111,168605,170279,171950,173641,174769,176092,177436,178899,180512,181553,182856,183516,185061,186687,188242,189134,189754,191413,192158,193975,195290,199459,202857,206965,210729,214641,218211,221952,227332,231382,236385,239914,245324,249316,253882,258695,262352,266166,271349,277106,282249,286055,289919,293602,296252,297995,299680,300477,301504,302368,303091,304722,306412,310017,312978,316622,319672,322798,325252,327743,330268,333533,335898,338153,338910,339967,341339,343403,345365,348302,352781,357528,363022,367073,372892,377381,383696,389370,396320,402296,409630,415611,422709,429955,437747,445522,451928,460084,468522,477009,483286,489771,495802,503371,507300,511177,511364,514995,517804,520596,521360,522135,523118,524425,523570,523482,522262,521808,520800,516010,513486,511196,509905,505770,503375,500315,497203,488007,480982,470512,464141,454276,442916,428835,415880,403637,390902,379151,369046,360365,349520,341365,333106,330799,327421,324616,319032,317157,313629,309356,304744,304265,307335,310151,312809,313194,314389,315372,318474,319220,319805,321015,321631,321233,318800,315725,312723,309597,307407,304239,299763,295023,294612,293759,294486,291460,289051,286249,283894,282686,282099,283608,286209,289306,289122,290804,292685,298943,305522,313255,322035,329199,336547,344275,355642,369169,383506,394041,402098,408553,416778,425929,432268,438750,442877,446338,446128,444630,444669,447442,450780,453891,456244,458360,460484,463473,468972,474977,479676,483369,487241,493068,501947,508393,512613,516234,522808,530283,533854,537642,542185,547005,549442,551184,550228,553905,557144,561012,562506,564713,570138,573279,576349,581278,588559,594083,601562,608130,617196,627447,637282,644576,649902,658139,668515,675612,680173,682486,684066,682096,679909,673048,667865,664746,663063,663367,665580,668800,668985,665787,663078,661127,659499,663591,672134,677744,681003,679947,679518,679947,683958,692558,701436,712075,722621,731230,736458,744581
97774,339,94568,Zip,CA,CA,Dublin,San Francisco-Oakland-Hayward,Alameda County,245815,245176,245075,244804,244939,244838,244663,244697,244929,245913,246829,247861,248128,248880,249692,250898,252304,253725,255626,257380,259271,260123,261212,262760,265244,267711,269932,272094,273669,275943,278844,281569,284506,286117,288571,289917,292545,295206,297958,300062,301425,304007,304522,306778,307916,314355,319218,325325,330304,335936,340699,345218,352312,357569,364287,368180,374695,378990,384359,391131,396477,401973,409079,417060,423929,428045,432092,436420,439934,441519,442877,440892,439353,437023,435335,435624,436131,440303,443617,448259,451838,455442,457912,461067,464325,468916,471870,473936,473691,473941,475152,476948,478647,481808,487180,493011,499748,504739,512489,519254,529272,538081,548264,557308,568507,578051,588918,599576,610796,621739,630869,642049,652906,663367,670345,676767,681920,689156,692608,697161,696990,700807,702483,703318,701264,699452,697945,697815,695412,694480,690971,687409,683435,674990,668794,662629,658153,651986,648807,645472,643889,635057,630229,621558,619115,613134,606563,598642,592832,585625,577379,568515,560329,552950,542937,537502,531151,533966,536314,537795,533278,534801,534936,535315,532285,535212,541518,547286,550944,549934,548961,548053,552052,551295,548563,544714,544230,543606,541520,536568,533359,529236,525768,520062,511879,504593,504529,505840,508116,503864,499035,495161,491759,490527,489331,492247,497321,505133,508690,514149,518463,528232,538437,549904,562188,572732,586870,601497,619999,636392,650358,659222,666438,674177,685469,697864,707142,715859,719871,722665,721761,720595,723649,729468,735485,740550,745087,748841,752027,755443,762738,770420,776262,781654,786921,795273,807322,815157,818234,821706,829451,839727,841772,844602,847872,852483,854067,854020,850947,853927,857428,860268,860465,861703,868855,871319,873225,877143,882888,886982,894006,900758,910705,922682,934711,942373,946735,955389,967334,975043,980960,984750,985253,980985,975782,966678,957071,950511,946814,946714,949561,953713,953754,948350,943013,939242,935974,940108,950688,957043,959027,955187,952396,950856,953702,962867,973928,986802,999934,1009688,1015932,1026410
97952,341,95051,Zip,CA,CA,Santa Clara,San Jose-Sunnyvale-Santa Clara,Santa Clara County,271915,270949,270675,270097,269969,269915,269804,270240,270631,271844,273634,275955,278781,281981,285254,288433,291336,294839,298798,303068,307471,311093,314548,317950,320259,322729,324822,327648,330838,333561,336559,338656,342033,345054,347030,348028,350624,353821,357005,358703,361042,364016,367540,370616,372686,376058,381268,388128,394646,400792,407390,416611,426079,437571,447939,460913,473785,486752,500193,512350,523873,531722,538793,542563,544453,541758,538515,534471,530859,525613,517172,509457,502691,501651,502876,505786,510106,515075,521079,524039,525574,527719,531300,533018,533718,533844,532905,531490,527450,525291,523248,524456,528167,531686,535833,541426,549051,554961,559336,565136,573106,582516,589849,597912,604481,614179,625253,636155,645831,655327,670060,681413,692636,699328,709760,718285,725309,729002,729975,731990,734674,737637,734362,732793,732083,735492,736185,733818,735488,736751,738966,739712,738946,740063,742582,743671,743189,740307,740471,742771,743375,740809,735011,725068,713181,698324,686901,681532,678062,672386,663627,656353,646635,639105,634510,640276,649301,660802,660756,658669,655183,659113,664449,665623,669461,675254,684782,687333,687827,686511,695614,698203,701772,693147,685267,680703,683309,685926,679535,672224,667093,661421,655419,650933,645077,647277,648651,653938,649175,641754,642843,642949,644164,647487,652412,663264,674370,687337,701509,712519,724981,739294,753801,770352,785583,796336,809092,821179,839100,853265,861560,865624,869668,879320,881388,890491,900719,918203,925246,928230,928581,932607,944495,955211,969957,977469,992783,1000205,1006609,1011321,1024747,1034132,1043434,1043385,1047457,1056798,1070687,1084284,1092388,1100642,1108083,1112212,1116393,1127917,1130652,1138545,1133377,1138825,1133699,1138769,1142014,1151470,1159980,1171555,1177833,1185003,1195684,1214755,1243168,1273189,1311531,1344096,1380062,1413150,1449654,1485970,1522854,1549356,1587191,1611566,1632915,1620567,1602331,1579623,1557592,1529948,1494948,1463022,1431501,1419238,1418462,1421491,1415555,1399463,1391742,1385339,1387939,1391282,1407086,1424098,1446847,1456202,1449050,1442758,1442745,1463845,1479292,1496061,1504073,1513692,1515433,1514825
