Region,RegionName,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
Zip,94002,CA,San Mateo County,Belmont,2/28/2022,3.2
Zip,94005,CA,San Mateo County,Brisbane,2/28/2022,3.8
Zip,94010,CA,San Mateo County,Burlingame,2/28/2022,2.8
Zip,94014,CA,San Mateo County,Daly City,2/28/2022,1.9
Zip,94015,CA,San Mateo County,Daly City,2/28/2022,3.2
Zip,94018,CA,San Mateo County,Half Moon Bay,2/28/2022,3.8
Zip,94019,CA,San Mateo County,Half Moon Bay,2/28/2022,2.8
Zip,94020,CA,San Mateo County,La Honda,2/28/2022,1.5
Zip,94021,CA,San Mateo County,Pescadero,2/28/2022,4.8
Zip,94022,CA,Santa Clara County,Los Altos,2/28/2022,3.7
Zip,94024,CA,Santa Clara County,Los Altos,2/28/2022,3.9
Zip,94025,CA,San Mateo County,Menlo Park,2/28/2022,2.8
Zip,94027,CA,San Mateo County,Atherton,2/28/2022,2.6
Zip,94028,CA,San Mateo County,Portola Valley,2/28/2022,2.2
Zip,94030,CA,San Mateo County,Millbrae,2/28/2022,1.2
Zip,94037,CA,San Mateo County,Montara,2/28/2022,3.4
Zip,94038,CA,San Mateo County,Moss Beach,2/28/2022,3.3
Zip,94040,CA,Santa Clara County,Mountain View,2/28/2022,3.4
Zip,94041,CA,Santa Clara County,Mountain View,2/28/2022,3.4
Zip,94043,CA,Santa Clara County,Mountain View,2/28/2022,2.4
Zip,94044,CA,San Mateo County,Pacifica,2/28/2022,3.5
Zip,94060,CA,San Mateo County,Pescadero,2/28/2022,3.2
Zip,94061,CA,San Mateo County,Redwood City,2/28/2022,2.8
Zip,94062,CA,San Mateo County,Redwood City,2/28/2022,3.7
Zip,94063,CA,San Mateo County,Redwood City,2/28/2022,3.1
Zip,94065,CA,San Mateo County,Redwood City,2/28/2022,1.8
Zip,94066,CA,San Mateo County,San Bruno,2/28/2022,2.4
Zip,94070,CA,San Mateo County,San Carlos,2/28/2022,2.9
Zip,94074,CA,San Mateo County,San Gregorio,2/28/2022,1.4
Zip,94080,CA,San Mateo County,South San Francisco,2/28/2022,3.5
Zip,94085,CA,Santa Clara County,Sunnyvale,2/28/2022,3.4
Zip,94086,CA,Santa Clara County,Sunnyvale,2/28/2022,3.2
Zip,94087,CA,Santa Clara County,Sunnyvale,2/28/2022,3.1
Zip,94089,CA,Santa Clara County,Sunnyvale,2/28/2022,4.1
Zip,94102,CA,San Francisco County,San Francisco,2/28/2022,3.1
Zip,94103,CA,San Francisco County,San Francisco,2/28/2022,2.1
Zip,94104,CA,San Francisco County,San Francisco,2/28/2022,1.8
Zip,94105,CA,San Francisco County,San Francisco,2/28/2022,1.7
Zip,94107,CA,San Francisco County,San Francisco,2/28/2022,2.1
Zip,94108,CA,San Francisco County,San Francisco,2/28/2022,2.9
Zip,94109,CA,San Francisco County,San Francisco,2/28/2022,2.5
Zip,94110,CA,San Francisco County,San Francisco,2/28/2022,3.3
Zip,94111,CA,San Francisco County,San Francisco,2/28/2022,2.5
Zip,94112,CA,San Francisco County,San Francisco,2/28/2022,4
Zip,94114,CA,San Francisco County,San Francisco,2/28/2022,3.6
Zip,94115,CA,San Francisco County,San Francisco,2/28/2022,2.8
Zip,94116,CA,San Francisco County,San Francisco,2/28/2022,3.4
Zip,94117,CA,San Francisco County,San Francisco,2/28/2022,3
Zip,94118,CA,San Francisco County,San Francisco,2/28/2022,2.6
Zip,94121,CA,San Francisco County,San Francisco,2/28/2022,3.4
Zip,94122,CA,San Francisco County,San Francisco,2/28/2022,3.6
Zip,94123,CA,San Francisco County,San Francisco,2/28/2022,2.2
Zip,94124,CA,San Francisco County,San Francisco,2/28/2022,3.3
Zip,94127,CA,San Francisco County,San Francisco,2/28/2022,4
Zip,94131,CA,San Francisco County,San Francisco,2/28/2022,3.3
Zip,94132,CA,San Francisco County,San Francisco,2/28/2022,2.6
Zip,94133,CA,San Francisco County,San Francisco,2/28/2022,3.6
Zip,94134,CA,San Francisco County,San Francisco,2/28/2022,4
Zip,94158,CA,San Francisco County,San Francisco,2/28/2022,2.6
Zip,94301,CA,Santa Clara County,Palo Alto,2/28/2022,1.9
Zip,94303,CA,Santa Clara County,Palo Alto,2/28/2022,1.7
Zip,94304,CA,Santa Clara County,Palo Alto,2/28/2022,3
Zip,94305,CA,Santa Clara County,Stanford,2/28/2022,4.4
Zip,94306,CA,Santa Clara County,Palo Alto,2/28/2022,3.4
Zip,94401,CA,San Mateo County,San Mateo,2/28/2022,2.3
Zip,94402,CA,San Mateo County,San Mateo,2/28/2022,3.4
Zip,94403,CA,San Mateo County,San Mateo,2/28/2022,2.5
Zip,94404,CA,San Mateo County,Foster City,2/28/2022,2.6
Zip,94501,CA,Alameda County,Alameda,2/28/2022,6.4
Zip,94502,CA,Alameda County,Alameda,2/28/2022,6.1
Zip,94505,CA,Contra Costa County,Discovery Bay,2/28/2022,5.8
Zip,94506,CA,Contra Costa County,Danville,2/28/2022,6.5
Zip,94507,CA,Contra Costa County,Alamo,2/28/2022,6.4
Zip,94509,CA,Contra Costa County,Antioch,2/28/2022,6.7
Zip,94511,CA,Contra Costa County,Bethel Island,2/28/2022,6.4
Zip,94513,CA,Contra Costa County,Brentwood,2/28/2022,5.9
Zip,94514,CA,Contra Costa County,Byron,2/28/2022,4.9
Zip,94516,CA,Contra Costa County,Canyon,2/28/2022,4.7
Zip,94517,CA,Contra Costa County,Clayton,2/28/2022,5
Zip,94518,CA,Contra Costa County,Concord,2/28/2022,7.4
Zip,94519,CA,Contra Costa County,Concord,2/28/2022,5.5
Zip,94520,CA,Contra Costa County,Concord,2/28/2022,5.7
Zip,94521,CA,Contra Costa County,Concord,2/28/2022,4.3
Zip,94523,CA,Contra Costa County,Pleasant Hill,2/28/2022,7.1
Zip,94525,CA,Contra Costa County,Crockett,2/28/2022,7.4
Zip,94526,CA,Contra Costa County,Danville,2/28/2022,5.7
Zip,94528,CA,Contra Costa County,Diablo,2/28/2022,6.8
Zip,94530,CA,Contra Costa County,El Cerrito,2/28/2022,6.5
Zip,94531,CA,Contra Costa County,Antioch,2/28/2022,7.3
Zip,94536,CA,Alameda County,Fremont,2/28/2022,5.4
Zip,94538,CA,Alameda County,Fremont,2/28/2022,5.3
Zip,94539,CA,Alameda County,Fremont,2/28/2022,5.7
Zip,94541,CA,Alameda County,Hayward,2/28/2022,6.2
Zip,94542,CA,Alameda County,Hayward,2/28/2022,7
Zip,94544,CA,Alameda County,Hayward,2/28/2022,5.9
Zip,94545,CA,Alameda County,Hayward,2/28/2022,6
Zip,94546,CA,Alameda County,Castro Valley,2/28/2022,6.5
Zip,94547,CA,Contra Costa County,Hercules,2/28/2022,6.9
Zip,94548,CA,Contra Costa County,Oakley,2/28/2022,9.1
Zip,94549,CA,Contra Costa County,Lafayette,2/28/2022,6.1
Zip,94550,CA,Alameda County,Livermore,2/28/2022,6.7
Zip,94551,CA,Alameda County,Livermore,2/28/2022,7
Zip,94552,CA,Alameda County,Castro Valley,2/28/2022,6.1
Zip,94553,CA,Contra Costa County,Martinez,2/28/2022,4.6
Zip,94555,CA,Alameda County,Fremont,2/28/2022,4.8
Zip,94556,CA,Contra Costa County,Moraga,2/28/2022,7.1
Zip,94560,CA,Alameda County,Newark,2/28/2022,5.7
Zip,94561,CA,Contra Costa County,Oakley,2/28/2022,6.8
Zip,94563,CA,Contra Costa County,Orinda,2/28/2022,7.1
Zip,94564,CA,Contra Costa County,Pinole,2/28/2022,7.6
Zip,94565,CA,Contra Costa County,Pittsburg,2/28/2022,7
Zip,94566,CA,Alameda County,Pleasanton,2/28/2022,6.2
Zip,94568,CA,Alameda County,Dublin,2/28/2022,6
Zip,94572,CA,Contra Costa County,Rodeo,2/28/2022,8.7
Zip,94577,CA,Alameda County,San Leandro,2/28/2022,6.7
Zip,94578,CA,Alameda County,San Leandro,2/28/2022,6.7
Zip,94579,CA,Alameda County,San Leandro,2/28/2022,6.9
Zip,94580,CA,Alameda County,San Lorenzo,2/28/2022,6.3
Zip,94582,CA,Contra Costa County,San Ramon,2/28/2022,7
Zip,94583,CA,Contra Costa County,San Ramon,2/28/2022,6.7
Zip,94586,CA,Alameda County,Sunol,2/28/2022,4.1
Zip,94587,CA,Alameda County,Union City,2/28/2022,6.1
Zip,94588,CA,Alameda County,Pleasanton,2/28/2022,6.1
Zip,94595,CA,Contra Costa County,Walnut Creek,2/28/2022,2.8
Zip,94596,CA,Contra Costa County,Walnut Creek,2/28/2022,5.3
Zip,94597,CA,Contra Costa County,Walnut Creek,2/28/2022,4.3
Zip,94598,CA,Contra Costa County,Walnut Creek,2/28/2022,4.3
Zip,94601,CA,Alameda County,Oakland,2/28/2022,6.1
Zip,94602,CA,Alameda County,Oakland,2/28/2022,7.8
Zip,94603,CA,Alameda County,Oakland,2/28/2022,5.6
Zip,94605,CA,Alameda County,Oakland,2/28/2022,6.6
Zip,94606,CA,Alameda County,Oakland,2/28/2022,4.6
Zip,94607,CA,Alameda County,Oakland,2/28/2022,4.3
