City,25_years,20_years,15_years,10_years,5_years,1_year,6_months,3_months,1_month,clusters_k4
San Quentin,0.675,0.1987,-0.0864,0.3881,0.0268,-0.0799,-0.0617,-0.0262,-0.0012,1
San Geronimo,1.7566,0.926,0.2222,0.5078,0.1437,0.076,0.0349,0.006,-0.0026,1
Half Moon Bay,2.4921,0.9912,0.348,0.7636,0.2255,0.0355,0.041,0.0152,0.0025,1
Stanford,2.7042,1.2729,0.7206,0.8325,0.2533,0.0033,-0.01,-0.0131,-0.0008,1
Kentfield,3.0744,1.3159,0.5141,0.914,0.1715,0.069,0.0144,0.0008,0.0017,1
Larkspur,3.1415,1.1729,0.3191,0.7408,0.2352,0.0982,0.035,0.0083,0.004,1
San Francisco,3.3712,1.2151,0.5092,0.8188,0.1031,-0.0423,-0.0259,-0.0191,-0.0047,1
Millbrae,3.4978,1.4981,0.6559,1.0232,0.1926,0.0047,0.0216,0.008,-0.0006,1
Daly City,3.5302,1.6005,0.4963,1.0752,0.2567,0.0028,0.0055,-0.0019,-0.0033,1
Los Gatos,3.6012,1.3019,0.7079,0.8163,0.2346,0.0732,0.0503,0.0162,0.002,1
Palo Alto,3.7037,1.5096,0.8293,1.0634,0.2556,0.0733,0.033,0.0033,-0.0023,1
Portola Valley,4.1046,1.4139,0.9322,1.155,0.0437,-0.0162,0.0079,-0.0035,-0.0074,1
Sunol,4.6194,1.8486,0.9903,1.0226,0.1531,0.0027,0.0302,0.0073,-0.0024,1
